Experiment,Tray,F0 food,F1 food,Rep,Clone,E,I?,I.D.,#clutches (up to d37),DOB,DOD,days.alive,Notes,Lifetime # clutches,C1 Date,C1 Full Date,C1 Formatted Date,C1 Days,C1 #,C2,C2 Full Date,C2 day,C2 #,C2 cumulative #,C3,C3 full date,C3 day,C3#,C3 cumulative #,C4,C4 Full Date,C4 day,C4#,C4 cumulative #,C5,C5 day,C5#,C5 cumulative #,C6,C6 day,C6#,C6 cumulative #,C7,C7 day,C7#,C7 cumulative #,C8,C8 day,C8#,C8 cumulative #,C9,C9 day,C9#,C9 cumulative #,C10,C10 day,C10#,C10 cumulative #,C11,C11 day,C11#,C11 cumulative #,C12,C12 day,C12#,C12 cumulative #,C13,C13 day,C13#,C13 cumulative #,C14,C14 day,C14#,C14 cumulative #,C15,C15 day,C15#,C15 cumulative #,C16,C16 day,C16#,C16 cumulative #,C17,C17 day,C17#,C17 cumulative #,C18,C18 day,C18#,C18 cumulative #,C19,C19 day,C19#,C19 cumulative #,C20,C20 day,C20#,C20 cumulative #,C21,C21 day,C21#,C21 cumulative #,C22,C22 day,C22#,C22 cumulative #,C23,C23 day,C23#,C23 cumulative #,C24,C24 day,C24#,C24 cumulative #,C25,C25 day,C25#,C25 cumulative #,Lifetime offpsring #
Fiona,14,L,H,29,32,E,1,228,2,02/20/2014 00:00,04/15/2014 00:00,55,,2,01-Mar,01/03/14,01/03/14,11,12,08-Mar,08/03/14,18,11,23,,/2014,,,23,,/2014,,,23,,-41090,,23,,-41090,,23,,-41090,,23,,-41090,,23,,-41090,,23,,-41090,,23,,-41090,,23,,-41090,,23,,-41090,,23,,-41090,,23,,-41090,,23,,-41090,,23,,-41090,,23,,-41090,,23,,-41090,,23,,-41090,,23,,-41090,,23,,-41090,,23,,-41090,,23,,-41090,,23,,-41090,,23,23
Fiona,5,L,L,5,32,E,1,75,3,02/17/2014 00:00,04/15/2014 00:00,58,,3,26-Feb,26/02/14,26/02/14,9,5,02-Mar,02/03/14,15,9,14,06-Mar,06/03/14,19,2,16,,/2014,,,16,,-41087,,16,,-41087,,16,,-41087,,16,,-41087,,16,,-41087,,16,,-41087,,16,,-41087,,16,,-41087,,16,,-41087,,16,,-41087,,16,,-41087,,16,,-41087,,16,,-41087,,16,,-41087,,16,,-41087,,16,,-41087,,16,,-41087,,16,,-41087,,16,,-41087,,16,,-41087,,16,,-41087,,16,16
Fiona,7,L,L,8,32,E,1,108,1,02/18/2014 00:00,04/17/2014 00:00,59,,1,01-Mar,01/03/14,01/03/14,13,3,,/2014,,,3,,/2014,,,3,,/2014,,,3,,-41088,,3,,-41088,,3,,-41088,,3,,-41088,,3,,-41088,,3,,-41088,,3,,-41088,,3,,-41088,,3,,-41088,,3,,-41088,,3,,-41088,,3,,-41088,,3,,-41088,,3,,-41088,,3,,-41088,,3,,-41088,,3,,-41088,,3,,-41088,,3,,-41088,,3,,-41088,,3,,-41088,,3,3
Fiona,17,H,L,35,32,E,1,281,1,02/21/2014 00:00,04/17/2014 00:00,56,,1,03/04/14,,03/04/14,13,7,,/2014,,,7,,/2014,,,7,,/2014,,,7,,-41091,,7,,-41091,,7,,-41091,,7,,-41091,,7,,-41091,,7,,-41091,,7,,-41091,,7,,-41091,,7,,-41091,,7,,-41091,,7,,-41091,,7,,-41091,,7,,-41091,,7,,-41091,,7,,-41091,,7,,-41091,,7,,-41091,,7,,-41091,,7,,-41091,,7,,-41091,,7,,-41091,,7,7
Fiona,4,H,H,6,32,E,1,58,2,02/17/2014 00:00,04/17/2014 00:00,60,,2,28-Feb,28/02/14,28/02/14,11,12,03-Mar,03/03/14,16,1,13,,/2014,,,13,,/2014,,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,13
Fiona,17,L,L,32,32,E,1,269,2,02/21/2014 00:00,04/17/2014 00:00,56,,2,03/02/14,,03/02/14,11,9,03/06/14,03/06/14,15,3,12,,/2014,,,12,,/2014,,,12,,-41091,,12,,-41091,,12,,-41091,,12,,-41091,,12,,-41091,,12,,-41091,,12,,-41091,,12,,-41091,,12,,-41091,,12,,-41091,,12,,-41091,,12,,-41091,,12,,-41091,,12,,-41091,,12,,-41091,,12,,-41091,,12,,-41091,,12,,-41091,,12,,-41091,,12,,-41091,,12,,-41091,,12,12
Fiona,7,H,H,17,32,E,1,114,1,02/18/2014 00:00,04/18/2014 00:00,60,,1,28-Feb,28/02/14,28/02/14,10,15,,/2014,,,15,,/2014,,,15,,/2014,,,15,,-41088,,15,,-41088,,15,,-41088,,15,,-41088,,15,,-41088,,15,,-41088,,15,,-41088,,15,,-41088,,15,,-41088,,15,,-41088,,15,,-41088,,15,,-41088,,15,,-41088,,15,,-41088,,15,,-41088,,15,,-41088,,15,,-41088,,15,,-41088,,15,,-41088,,15,,-41088,,15,,-41088,,15,15
Fiona,15,L,L,27,32,E,1,254,2,02/20/2014 00:00,04/18/2014 00:00,58,,2,02-Mar,02/03/14,02/03/14,12,3,05-Mar,05/03/14,15,3,6,,/2014,,,6,,/2014,,,6,,-41090,,6,,-41090,,6,,-41090,,6,,-41090,,6,,-41090,,6,,-41090,,6,,-41090,,6,,-41090,,6,,-41090,,6,,-41090,,6,,-41090,,6,,-41090,,6,,-41090,,6,,-41090,,6,,-41090,,6,,-41090,,6,,-41090,,6,,-41090,,6,,-41090,,6,,-41090,,6,,-41090,,6,6
Fiona,15,H,L,28,32,E,1,257,2,02/20/2014 00:00,04/18/2014 00:00,58,,2,01-Mar,01/03/14,01/03/14,11,3,05-Mar,05/03/14,15,3,6,,/2014,,,6,,/2014,,,6,,-41090,,6,,-41090,,6,,-41090,,6,,-41090,,6,,-41090,,6,,-41090,,6,,-41090,,6,,-41090,,6,,-41090,,6,,-41090,,6,,-41090,,6,,-41090,,6,,-41090,,6,,-41090,,6,,-41090,,6,,-41090,,6,,-41090,,6,,-41090,,6,,-41090,,6,,-41090,,6,,-41090,,6,6
Fiona,17,L,H,35,32,E,1,282,2,02/21/2014 00:00,04/18/2014 00:00,57,,2,03/02/14,,03/02/14,11,15,03/05/14,03/05/14,14,13,28,,/2014,,,28,,/2014,,,28,,-41091,,28,,-41091,,28,,-41091,,28,,-41091,,28,,-41091,,28,,-41091,,28,,-41091,,28,,-41091,,28,,-41091,,28,,-41091,,28,,-41091,,28,,-41091,,28,,-41091,,28,,-41091,,28,,-41091,,28,,-41091,,28,,-41091,,28,,-41091,,28,,-41091,,28,,-41091,,28,,-41091,,28,28
Fiona,19,H,L,38,32,E,1,301,2,02/22/2014 00:00,04/18/2014 00:00,56,,2,03/03/14,,03/03/14,11,3,03/07/14,03/07/14,15,2,5,,/2014,,,5,,/2014,,,5,,-41092,,5,,-41092,,5,,-41092,,5,,-41092,,5,,-41092,,5,,-41092,,5,,-41092,,5,,-41092,,5,,-41092,,5,,-41092,,5,,-41092,,5,,-41092,,5,,-41092,,5,,-41092,,5,,-41092,,5,,-41092,,5,,-41092,,5,,-41092,,5,,-41092,,5,,-41092,,5,,-41092,,5,5
Fiona,9,L,H,15,32,E,1,142,3,02/18/2014 00:00,04/18/2014 00:00,60,,3,26-Feb,26/02/14,26/02/14,8,15,02-Mar,02/03/14,14,17,32,05-Mar,05/03/14,17,16,48,,/2014,,,48,,-41088,,48,,-41088,,48,,-41088,,48,,-41088,,48,,-41088,,48,,-41088,,48,,-41088,,48,,-41088,,48,,-41088,,48,,-41088,,48,,-41088,,48,,-41088,,48,,-41088,,48,,-41088,,48,,-41088,,48,,-41088,,48,,-41088,,48,,-41088,,48,,-41088,,48,,-41088,,48,,-41088,,48,48
Fiona,15,L,H,26,32,E,1,252,4,02/20/2014 00:00,04/18/2014 00:00,58,,4,02-Mar,02/03/14,02/03/14,12,13,04-Mar,04/03/14,14,16,29,07-Mar,07/03/14,17,10,39,03/11/14,03/11/14,21,12,51,,-41090,,51,,-41090,,51,,-41090,,51,,-41090,,51,,-41090,,51,,-41090,,51,,-41090,,51,,-41090,,51,,-41090,,51,,-41090,,51,,-41090,,51,,-41090,,51,,-41090,,51,,-41090,,51,,-41090,,51,,-41090,,51,,-41090,,51,,-41090,,51,,-41090,,51,,-41090,,51,,-41090,,51,51
Fiona,13,H,L,27,32,E,1,197,2,02/20/2014 00:00,04/19/2014 00:00,59,,2,02-Mar,02/03/14,02/03/14,12,4,06-Mar,06/03/14,16,4,8,,/2014,,,8,,/2014,,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,8
Fiona,5,L,L,4,32,E,1,71,3,02/17/2014 00:00,04/19/2014 00:00,62,,3,28-Feb,28/02/14,28/02/14,11,3,03-Mar,03/03/14,16,14,17,07-Mar,07/03/14,20,15,32,,/2014,,,32,,-41087,,32,,-41087,,32,,-41087,,32,,-41087,,32,,-41087,,32,,-41087,,32,,-41087,,32,,-41087,,32,,-41087,,32,,-41087,,32,,-41087,,32,,-41087,,32,,-41087,,32,,-41087,,32,,-41087,,32,,-41087,,32,,-41087,,32,,-41087,,32,,-41087,,32,,-41087,,32,,-41087,,32,32
Fiona,13,H,H,29,32,E,1,215,2,02/20/2014 00:00,04/20/2014 00:00,60,,2,01-Mar,01/03/14,01/03/14,11,19,04-Mar,04/03/14,14,6,25,,/2014,,,25,,/2014,,,25,,-41090,,25,,-41090,,25,,-41090,,25,,-41090,,25,,-41090,,25,,-41090,,25,,-41090,,25,,-41090,,25,,-41090,,25,,-41090,,25,,-41090,,25,,-41090,,25,,-41090,,25,,-41090,,25,,-41090,,25,,-41090,,25,,-41090,,25,,-41090,,25,,-41090,,25,,-41090,,25,,-41090,,25,25
Fiona,13,L,L,28,32,E,1,211,2,02/20/2014 00:00,04/20/2014 00:00,60,,2,03-Mar,03/03/14,03/03/14,13,3,06-Mar,06/03/14,16,2,5,,/2014,,,5,,/2014,,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,5
Fiona,15,L,L,25,32,E,1,246,3,02/20/2014 00:00,04/20/2014 00:00,60,,3,28-Feb,28/02/14,28/02/14,8,4,06-Mar,06/03/14,16,2,6,04/17/2014,04/17/2014,57,1,7,,/2014,,,7,,-41090,,7,,-41090,,7,,-41090,,7,,-41090,,7,,-41090,,7,,-41090,,7,,-41090,,7,,-41090,,7,,-41090,,7,,-41090,,7,,-41090,,7,,-41090,,7,,-41090,,7,,-41090,,7,,-41090,,7,,-41090,,7,,-41090,,7,,-41090,,7,,-41090,,7,,-41090,,7,,-41090,,7,7
Fiona,13,L,H,28,32,E,1,210,2,02/20/2014 00:00,04/21/2014 00:00,61,,2,02-Mar,02/03/14,02/03/14,12,16,05-Mar,05/03/14,15,14,30,,/2014,,,30,,/2014,,,30,,-41090,,30,,-41090,,30,,-41090,,30,,-41090,,30,,-41090,,30,,-41090,,30,,-41090,,30,,-41090,,30,,-41090,,30,,-41090,,30,,-41090,,30,,-41090,,30,,-41090,,30,,-41090,,30,,-41090,,30,,-41090,,30,,-41090,,30,,-41090,,30,,-41090,,30,,-41090,,30,,-41090,,30,30
Fiona,5,H,L,16,32,E,1,81,0,02/17/2014 00:00,04/22/2014 00:00,65,,0,,/2014,\/2014,,,,/2014,,,0,,/2014,,,0,,/2014,,,0,,-41087,,0,,-41087,,0,,-41087,,0,,-41087,,0,,-41087,,0,,-41087,,0,,-41087,,0,,-41087,,0,,-41087,,0,,-41087,,0,,-41087,,0,,-41087,,0,,-41087,,0,,-41087,,0,,-41087,,0,,-41087,,0,,-41087,,0,,-41087,,0,,-41087,,0,,-41087,,0,,-41087,,0,0
Fiona,5,H,H,16,32,E,1,82,2,02/17/2014 00:00,04/22/2014 00:00,65,,2,27-Feb,27/02/14,27/02/14,10,8,03-Mar,03/03/14,16,19,27,,/2014,,,27,,/2014,,,27,,-41087,,27,,-41087,,27,,-41087,,27,,-41087,,27,,-41087,,27,,-41087,,27,,-41087,,27,,-41087,,27,,-41087,,27,,-41087,,27,,-41087,,27,,-41087,,27,,-41087,,27,,-41087,,27,,-41087,,27,,-41087,,27,,-41087,,27,,-41087,,27,,-41087,,27,,-41087,,27,,-41087,,27,27
Fiona,14,L,L,30,32,E,1,232,2,02/20/2014 00:00,04/22/2014 00:00,62,,2,03-Mar,03/03/14,03/03/14,13,4,05-Mar,05/03/14,15,4,8,,/2014,,,8,,/2014,,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,8
Fiona,6,L,L,14,32,E,1,91,2,02/18/2014 00:00,04/28/2014 00:00,70,,2,27-Feb,27/02/14,27/02/14,9,8,02-Mar,02/03/14,14,16,24,,/2014,,,24,,/2014,,,24,,-41088,,24,,-41088,,24,,-41088,,24,,-41088,,24,,-41088,,24,,-41088,,24,,-41088,,24,,-41088,,24,,-41088,,24,,-41088,,24,,-41088,,24,,-41088,,24,,-41088,,24,,-41088,,24,,-41088,,24,,-41088,,24,,-41088,,24,,-41088,,24,,-41088,,24,,-41088,,24,,-41088,,24,24
Fiona,21,L,L,39,32,E,1,318,3,02/25/2014 00:00,05/03/14 00:00,68,,3,03/08/14,,03/08/14,13,4,03/11/14,03/11/14,16,10,14,03/17/2014,03/17/2014,22,2,16,,/2014,,,16,,-41095,,16,,-41095,,16,,-41095,,16,,-41095,,16,,-41095,,16,,-41095,,16,,-41095,,16,,-41095,,16,,-41095,,16,,-41095,,16,,-41095,,16,,-41095,,16,,-41095,,16,,-41095,,16,,-41095,,16,,-41095,,16,,-41095,,16,,-41095,,16,,-41095,,16,,-41095,,16,,-41095,,16,16
Fiona,19,L,L,36,32,E,1,291,1,02/22/2014 00:00,05/05/14 00:00,73,,1,03/05/14,,03/05/14,13,3,,/2014,,,3,,/2014,,,3,,/2014,,,3,,-41092,,3,,-41092,,3,,-41092,,3,,-41092,,3,,-41092,,3,,-41092,,3,,-41092,,3,,-41092,,3,,-41092,,3,,-41092,,3,,-41092,,3,,-41092,,3,,-41092,,3,,-41092,,3,,-41092,,3,,-41092,,3,,-41092,,3,,-41092,,3,,-41092,,3,,-41092,,3,,-41092,,3,3
Fiona,4,H,L,4,32,E,1,53,1,02/17/2014 00:00,NO DATE,,,1,28-Feb,28/02/14,28/02/14,11,2,,/2014,,,2,,/2014,,,2,,/2014,,,2,,-41087,,2,,-41087,,2,,-41087,,2,,-41087,,2,,-41087,,2,,-41087,,2,,-41087,,2,,-41087,,2,,-41087,,2,,-41087,,2,,-41087,,2,,-41087,,2,,-41087,,2,,-41087,,2,,-41087,,2,,-41087,,2,,-41087,,2,,-41087,,2,,-41087,,2,,-41087,,2,,-41087,,2,2
Fiona,10,H,L,21,32,E,1,155,1,02/19/2014 00:00,NO DATE,,,1,28-Feb,28/02/14,28/02/14,9,4,,/2014,,,4,,/2014,,,4,,/2014,,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,4
Fiona,10,H,L,24,32,E,1,161,1,02/19/2014 00:00,NO DATE,,,1,01-Mar,01/03/14,01/03/14,12,4,,/2014,,,4,,/2014,,,4,,/2014,,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,4
Fiona,12,L,H,23,32,E,1,185,1,02/19/2014 00:00,NO DATE,,,1,01-Mar,01/03/14,01/03/14,12,14,,/2014,,,14,,/2014,,,14,,/2014,,,14,,-41089,,14,,-41089,,14,,-41089,,14,,-41089,,14,,-41089,,14,,-41089,,14,,-41089,,14,,-41089,,14,,-41089,,14,,-41089,,14,,-41089,,14,,-41089,,14,,-41089,,14,,-41089,,14,,-41089,,14,,-41089,,14,,-41089,,14,,-41089,,14,,-41089,,14,,-41089,,14,,-41089,,14,14
Fiona,19,H,L,36,32,E,1,292,1,02/22/2014 00:00,NO DATE,,,1,03/06/14,,03/06/14,14,2,,/2014,,,2,,/2014,,,2,,/2014,,,2,,-41092,,2,,-41092,,2,,-41092,,2,,-41092,,2,,-41092,,2,,-41092,,2,,-41092,,2,,-41092,,2,,-41092,,2,,-41092,,2,,-41092,,2,,-41092,,2,,-41092,,2,,-41092,,2,,-41092,,2,,-41092,,2,,-41092,,2,,-41092,,2,,-41092,,2,,-41092,,2,,-41092,,2,2
Fiona,8,L,H,11,32,E,1,129,2,02/18/2014 00:00,NO DATE,,,2,26-Feb,26/02/14,26/02/14,8,6,01-Mar,01/03/14,13,13,19,,/2014,,,19,,/2014,,,19,,-41088,,19,,-41088,,19,,-41088,,19,,-41088,,19,,-41088,,19,,-41088,,19,,-41088,,19,,-41088,,19,,-41088,,19,,-41088,,19,,-41088,,19,,-41088,,19,,-41088,,19,,-41088,,19,,-41088,,19,,-41088,,19,,-41088,,19,,-41088,,19,,-41088,,19,,-41088,,19,,-41088,,19,19
Fiona,10,H,H,21,32,E,1,156,2,02/19/2014 00:00,NO DATE,,,2,27-Feb,27/02/14,27/02/14,8,12,03-Mar,03/03/14,14,10,22,,/2014,,,22,,/2014,,,22,,-41089,,22,,-41089,,22,,-41089,,22,,-41089,,22,,-41089,,22,,-41089,,22,,-41089,,22,,-41089,,22,,-41089,,22,,-41089,,22,,-41089,,22,,-41089,,22,,-41089,,22,,-41089,,22,,-41089,,22,,-41089,,22,,-41089,,22,,-41089,,22,,-41089,,22,,-41089,,22,,-41089,,22,22
Fiona,20,H,L,39,32,E,1,313,3,02/23/2014 00:00,NO DATE,,,3,03/06/14,,03/06/14,13,4,03/11/14,03/11/14,18,4,8,04/15/2014,04/15/2014,52,1,9,,/2014,,,9,,-41093,,9,,-41093,,9,,-41093,,9,,-41093,,9,,-41093,,9,,-41093,,9,,-41093,,9,,-41093,,9,,-41093,,9,,-41093,,9,,-41093,,9,,-41093,,9,,-41093,,9,,-41093,,9,,-41093,,9,,-41093,,9,,-41093,,9,,-41093,,9,,-41093,,9,,-41093,,9,,-41093,,9,9
Fiona,14,L,H,30,32,E,1,233,4,02/20/2014 00:00,NO DATE,,,4,01-Mar,01/03/14,01/03/14,11,14,04-Mar,04/03/14,14,14,28,08-Mar,08/03/14,18,8,36,03/12/14,03/12/14,22,11,47,,-41090,,47,,-41090,,47,,-41090,,47,,-41090,,47,,-41090,,47,,-41090,,47,,-41090,,47,,-41090,,47,,-41090,,47,,-41090,,47,,-41090,,47,,-41090,,47,,-41090,,47,,-41090,,47,,-41090,,47,,-41090,,47,,-41090,,47,,-41090,,47,,-41090,,47,,-41090,,47,,-41090,,47,47
Fiona,4,H,H,11,32,U,U,66,8,02/17/2014 00:00,05/21/2014 00:00,94,,20,01-Mar,01/03/14,01/03/14,14,14,04-Mar,04/03/14,17,9,23,07-Mar,07/03/14,20,12,35,03/11/14,03/11/14,24,8,43,03/14/2014,27,10,53,03/18/2014,31,7,60,03/21/2014,34,11,71,03/24/2014 00:00,37,11,82,03/28/2014 00:00,41,8,90,03/31/2014 00:00,44,9,99,04/04/14 00:00,47,8,107,04/07/14 00:00,50,9,116,04/11/14 00:00,54,9,125,04/14/2014 00:00,57,12,137,04/18/2014 00:00,61,13,150,04/21/2014 00:00,64,12,162,04/25/2014 00:00,68,6,168,04/29/2014 00:00,72,5,173,05/07/14 00:00,80,8,181,05/11/14 00:00,84,3,184,,-41087,,184,,-41087,,184,,-41087,,184,,-41087,,184,,-41087,,184,184
Fiona,2,H,L,15,32,U,U,28,6,02/17/2014 00:00,06/21/2014 00:00,124,,19,26-Feb,26/02/14,26/02/14,9,8,02-Mar,02/03/14,15,7,15,06-Mar,06/03/14,19,1,16,03/16/2014,03/16/2014,29,4,20,03/21/2014,34,2,22,03/25/2014,38,4,26,03/29/2014,42,4,30,04/01/14 00:00,44,4,34,04/07/14 00:00,50,6,40,04/14/2014 00:00,57,1,41,04/16/2014 00:00,59,3,44,04/20/2014 00:00,63,4,48,04/27/2014 00:00,70,4,52,04/30/2014 00:00,73,10,62,05/04/14 00:00,77,5,67,05/10/14 00:00,83,1,68,05/17/2014 00:00,90,6,74,05/22/2014 00:00,95,2,76,05/28/2014 00:00,101,2,78,,-41087,,78,,-41087,,78,,-41087,,78,,-41087,,78,,-41087,,78,,-41087,,78,78
Fiona,6,L,H,14,32,U,U,93,2,02/18/2014 00:00,03/05/14 00:00,17,,2,27-Feb,27/02/14,27/02/14,9,16,02-Mar,02/03/14,14,14,30,,/2014,,,30,,/2014,,,30,,-41088,,30,,-41088,,30,,-41088,,30,,-41088,,30,,-41088,,30,,-41088,,30,,-41088,,30,,-41088,,30,,-41088,,30,,-41088,,30,,-41088,,30,,-41088,,30,,-41088,,30,,-41088,,30,,-41088,,30,,-41088,,30,,-41088,,30,,-41088,,30,,-41088,,30,,-41088,,30,,-41088,,30,30
Fiona,7,H,H,17,32,U,U,116,3,02/18/2014 00:00,03/07/14 00:00,19,,3,26-Feb,26/02/14,26/02/14,8,6,01-Mar,01/03/14,13,13,19,04-Mar,04/03/14,16,12,31,,/2014,,,31,,-41088,,31,,-41088,,31,,-41088,,31,,-41088,,31,,-41088,,31,,-41088,,31,,-41088,,31,,-41088,,31,,-41088,,31,,-41088,,31,,-41088,,31,,-41088,,31,,-41088,,31,,-41088,,31,,-41088,,31,,-41088,,31,,-41088,,31,,-41088,,31,,-41088,,31,,-41088,,31,,-41088,,31,31
Fiona,12,H,H,26,32,U,U,195,3,02/19/2014 00:00,03/13/2014 00:00,24,,3,28-Feb,28/02/14,28/02/14,9,12,03-Mar,03/03/14,14,11,23,06-Mar,06/03/14,17,10,33,,/2014,,,33,,-41089,,33,,-41089,,33,,-41089,,33,,-41089,,33,,-41089,,33,,-41089,,33,,-41089,,33,,-41089,,33,,-41089,,33,,-41089,,33,,-41089,,33,,-41089,,33,,-41089,,33,,-41089,,33,,-41089,,33,,-41089,,33,,-41089,,33,,-41089,,33,,-41089,,33,,-41089,,33,,-41089,,33,33
Fiona,15,L,H,24,32,U,U,244,7,02/20/2014 00:00,03/22/2014 00:00,32,,7,01-Mar,01/03/14,01/03/14,11,12,04-Mar,04/03/14,14,12,24,07-Mar,07/03/14,17,15,39,03/11/14,03/11/14,21,9,48,03/14/2014,24,13,61,03/18/2014,28,7,68,03/22/2014,32,11,79,,-41090,,79,,-41090,,79,,-41090,,79,,-41090,,79,,-41090,,79,,-41090,,79,,-41090,,79,,-41090,,79,,-41090,,79,,-41090,,79,,-41090,,79,,-41090,,79,,-41090,,79,,-41090,,79,,-41090,,79,,-41090,,79,,-41090,,79,,-41090,,79,79
Fiona,17,H,H,35,32,U,U,285,6,02/21/2014 00:00,03/22/2014 00:00,31,,6,03/03/14,,03/03/14,12,22,03/06/14,03/06/14,15,11,33,03/09/14,03/09/14,18,13,46,03/13/2014,03/13/2014,22,12,58,03/16/2014,25,11,69,03/20/2014,29,13,82,,-41091,,82,,-41091,,82,,-41091,,82,,-41091,,82,,-41091,,82,,-41091,,82,,-41091,,82,,-41091,,82,,-41091,,82,,-41091,,82,,-41091,,82,,-41091,,82,,-41091,,82,,-41091,,82,,-41091,,82,,-41091,,82,,-41091,,82,,-41091,,82,,-41091,,82,82
Fiona,3,H,L,3,32,U,U,34,8,02/17/2014 00:00,03/29/2014 00:00,42,,8,27-Feb,27/02/14,27/02/14,10,8,03-Mar,03/03/14,16,5,13,06-Mar,06/03/14,19,4,17,03/11/14,03/11/14,24,3,20,03/14/2014,27,4,24,03/19/2014,32,3,27,03/22/2014,35,1,28,03/24/2014 00:00,37,1,29,,-41087,,29,,-41087,,29,,-41087,,29,,-41087,,29,,-41087,,29,,-41087,,29,,-41087,,29,,-41087,,29,,-41087,,29,,-41087,,29,,-41087,,29,,-41087,,29,,-41087,,29,,-41087,,29,,-41087,,29,,-41087,,29,,-41087,,29,29
Fiona,12,H,H,25,32,U,U,192,8,02/19/2014 00:00,03/31/2014 00:00,42,,9,01-Mar,01/03/14,01/03/14,12,14,05-Mar,05/03/14,16,14,28,08-Mar,08/03/14,19,15,43,03/12/14,03/12/14,23,12,55,03/15/2014,26,8,63,03/19/2014,30,9,72,03/22/2014,33,12,84,03/26/2014 00:00,37,10,94,03/30/2014 00:00,41,7,101,,-41089,,101,,-41089,,101,,-41089,,101,,-41089,,101,,-41089,,101,,-41089,,101,,-41089,,101,,-41089,,101,,-41089,,101,,-41089,,101,,-41089,,101,,-41089,,101,,-41089,,101,,-41089,,101,,-41089,,101,,-41089,,101,101
Fiona,17,L,H,33,32,U,U,275,7,02/21/2014 00:00,04/04/14 00:00,43,,7,03/02/14,,03/02/14,11,15,03/05/14,03/05/14,14,21,36,03/09/14,03/09/14,18,11,47,03/12/14,03/12/14,21,9,56,03/16/2014,25,8,64,03/20/2014,29,10,74,03/23/2014,32,10,84,,-41091,,84,,-41091,,84,,-41091,,84,,-41091,,84,,-41091,,84,,-41091,,84,,-41091,,84,,-41091,,84,,-41091,,84,,-41091,,84,,-41091,,84,,-41091,,84,,-41091,,84,,-41091,,84,,-41091,,84,,-41091,,84,,-41091,,84,,-41091,,84,84
Fiona,20,L,H,38,32,U,U,312,8,02/23/2014 00:00,04/06/14 00:00,43,,10,03/05/14,,03/05/14,12,16,03/08/14,03/08/14,15,13,29,03/12/14,03/12/14,19,13,42,03/15/2014,03/15/2014,22,8,50,03/19/2014,26,9,59,03/22/2014,29,8,67,03/26/2014,33,12,79,03/30/2014 00:00,37,9,88,04/02/14 00:00,39,6,94,04/06/14 00:00,43,5,99,,-41093,,99,,-41093,,99,,-41093,,99,,-41093,,99,,-41093,,99,,-41093,,99,,-41093,,99,,-41093,,99,,-41093,,99,,-41093,,99,,-41093,,99,,-41093,,99,,-41093,,99,,-41093,,99,,-41093,,99,99
Fiona,2,H,H,13,32,U,U,22,8,02/17/2014 00:00,04/10/14 00:00,53,,9,27-Feb,27/02/14,27/02/14,10,17,02-Mar,02/03/14,15,6,23,06-Mar,06/03/14,19,9,32,03/10/14,03/10/14,23,8,40,03/15/2014,28,14,54,03/17/2014,30,10,64,03/20/2014,33,13,77,03/24/2014 00:00,37,11,88,03/28/2014 00:00,41,13,101,,-41087,,101,,-41087,,101,,-41087,,101,,-41087,,101,,-41087,,101,,-41087,,101,,-41087,,101,,-41087,,101,,-41087,,101,,-41087,,101,,-41087,,101,,-41087,,101,,-41087,,101,,-41087,,101,,-41087,,101,,-41087,,101,101
